memory,type,is_cold,exec_time,connection_time,client_time,provider_time
1024,warm,False,1190970,0.086189,1355405,1198
1024,warm,False,1196569,0.063823,1387721,1203
1024,warm,False,1211762,0.094409,1361722,1219
1024,warm,False,1168918,0.090701,1352889,1176
1024,warm,False,1186695,0.097854,1432830,1194
1024,warm,False,1224506,0.100144,1471198,1324
1024,warm,False,1163626,0.081175,1385008,1172
1024,warm,False,1184311,0.075618,1369838,1191
1024,warm,False,1211577,0.081416,1356217,1220
1024,warm,False,1154673,0.094853,1301290,1161
1024,warm,False,1197206,0.079723,1356046,1204
1024,warm,False,1531190,0.086454,1672084,1537
1024,warm,False,1148438,0.096617,1395529,1154
1024,warm,False,1174225,0.095542,1350837,1181
1024,warm,False,1083505,0.084195,1242688,1117
1024,warm,False,1170781,0.086979,1309570,1177
1024,warm,False,1717191,0.077505,1855120,1723
1024,warm,False,1176192,0.079827,1346370,1182
1024,warm,False,1168204,0.090549,1397927,1174
1024,warm,False,1215334,0.069684,1425589,1307
1024,warm,False,1180932,0.086753,1322361,1189
1024,warm,False,1217164,0.09482,1364659,1225
1024,warm,False,1165577,0.077018,1312674,1173
1024,warm,False,1216044,0.079369,1355667,1225
1024,warm,False,1152679,0.082185,1337465,1161
1024,warm,False,1159263,0.061334,1275425,1165
1024,warm,False,1153962,0.065399,1310626,1162
1024,warm,False,1196642,0.080527,1387164,1241
1024,warm,False,1249059,0.066434,1379256,1258
1024,warm,False,1201290,0.08598,1430278,1209
1024,warm,False,1235025,0.084688,1382589,1245
1024,warm,False,1270966,0.109657,1479391,1280
1024,warm,False,1169887,0.071482,1429929,1176
1024,warm,False,1329683,0.080902,1460622,1335
1024,warm,False,1170576,0.078159,1349582,1176
1024,warm,False,1139363,0.076409,1259835,1145
1024,warm,False,1187987,0.113199,1418347,1265
1024,warm,False,1119053,0.077186,1327857,1209
1024,warm,False,1134914,0.084798,1273173,1142
1024,warm,False,1209499,0.073533,1415190,1216
1024,warm,False,1124178,0.084418,1386351,1131
1024,warm,False,1223016,0.096643,1375868,1229
1024,warm,False,1172958,0.092546,1405022,1180
1024,warm,False,1190004,0.089037,1333887,1198
1024,warm,False,1210657,0.105477,1374357,1217
1024,warm,False,1202969,0.09381,1378436,1209
1024,warm,False,1162235,0.092625,1384204,1250
1024,warm,False,1145085,0.104943,1391698,1150
1024,warm,False,1172477,0.081248,1300681,1179
1024,warm,False,1147229,0.076975,1342817,1154
1024,warm,False,1179670,0.079396,1399633,1186
1024,warm,False,1221826,0.093947,1367886,1230
1024,warm,False,1258220,0.093918,1446102,1266
1024,warm,False,1220654,0.076392,1356573,1231
1024,warm,False,1219608,0.080479,1445099,1321
